wnid,synset,gloss,safety
n10655986,stickler,"someone who insists on something; ""a stickler for promptness""",offensive
n10761326,"voyeur, Peeping Tom, peeper",a viewer who enjoys seeing the sex acts or sex organs of others,offensive
n10769321,"wassailer, carouser",someone who enjoys riotous drinking,offensive
n09838295,bank robber,a robber of banks,offensive
n10576962,selfish person,a person who is unusually selfish,offensive
n10344656,name dropper,someone who pretends that famous people are his/her friends,offensive
n10451450,politician,a schemer who tries to gain advantage in an organization in sly or underhanded ways,offensive
n09788073,ambusher,an attacker who waits in a concealed position to launch a surprise attack,offensive
n09996304,deadhead,"a nonenterprising person who is not paying his way; ""the deadheads on the payroll should be eased out as fast as possible""",offensive
n09872066,"bragger, braggart, boaster, blowhard, line-shooter, vaunter",a very boastful and talkative person,offensive
n10321882,"misanthrope, misanthropist",someone who dislikes people in general,offensive
n09631129,"unwelcome person, persona non grata",a person who for some reason is not wanted or welcome,offensive
n10306595,"melancholic, melancholiac",someone subject to melancholia,offensive
n10419472,pessimist,a person who expects the worst,offensive
n10196725,iconoclast,someone who attacks cherished ideas or traditional institutions,offensive
n10181547,homeboy,a fellow male member of a youth gang,offensive
n10098388,fly-by-night,a debtor who flees to avoid paying,offensive
n09853645,bigot,a prejudiced person who is intolerant of any opinions differing from his own,offensive
n09896170,caricaturist,someone who parodies in an exaggerated manner,offensive
n10149436,grunter,a person who grunts,offensive
n10273064,"failure, loser, nonstarter, unsuccessful person",a person with a record of failing; someone who loses consistently,offensive
n09930628,closet queen,a negative term for a homosexual man who chooses not to reveal his sexual orientation,offensive
n10765305,wally,a silly and inept person; someone who is regarded as stupid,offensive
n10757492,"visualizer, visualiser",one whose prevailing mental imagery is visual,offensive
n09792125,"anathema, bete noire","a detested person; ""he is an anathema to me""",offensive
n10401204,parricide,someone who kills his or her parent,offensive
n10220924,Jekyll and Hyde,someone with two personalities - one good and one evil,offensive
n09933842,"codger, old codger",used affectionately to refer to an eccentric but amusing old man,offensive
n09755893,aberrant,one whose behavior departs substantially from the norm of a group,offensive
n10646433,stalker,someone who stalks game,offensive
n09863749,"Bolshevik, Marxist, red, bolshie, bolshy",emotionally charged terms used to refer to extreme radicals or revolutionaries,offensive
n10520544,renegade,someone who rebels and becomes an outlaw,offensive
n10117739,"gainer, weight gainer",a person who gains weight,offensive
n10129338,Gibson girl,the idealized American girl of the 1890s as pictured by C. D. Gibson,offensive
n10223069,Job's comforter,someone whose comfort is actually discouraging,offensive
n09838370,"bankrupt, insolvent",someone who has insufficient assets to cover their debts,offensive
n10280034,maenad,an unnaturally frenzied or distraught woman,offensive
n10722965,"traitor, treasonist",someone who betrays his country by committing treason,offensive
n10299875,"matchmaker, matcher, marriage broker",someone who arranges (or tries to arrange) marriages for others,offensive
n10200246,imperialist,a believer in imperialism,offensive
n10804636,young Turk,a young radical who agitates for reform,offensive
n10155222,"hacker, cyber-terrorist, cyberpunk",a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism,offensive
n10251329,lazybones,a lazy person,offensive
n10498046,"quaker, trembler",one who quakes and trembles with (or as with) fear,offensive
n09782855,alexic,a person with alexia,offensive
n10154186,"Gypsy, Gipsy, Romany, Rommany, Romani, Roma, Bohemian","a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)",offensive
n10643095,squatter,someone who settles on land without right or title,offensive
n10755164,virago,a noisy or scolding or domineering woman,offensive
n10202763,incurable,a person whose disease is incurable,offensive
n10618685,"social climber, climber",someone seeking social prominence by obsequious behavior,offensive
n10613996,"smasher, stunner, knockout, beauty, ravisher, sweetheart, peach, lulu, looker, mantrap, dish",a very attractive or seductive looking woman,offensive
n10792506,worthy,"an important, honorable person (word is often used humorously); ""he told his story to some conservative worthies""; ""local worthies rarely challenged the chief constable""",offensive
n09760290,accessory before the fact,a person who procures or advises or commands the commission of a felony but who is not present at its perpetration,offensive
n10206629,ingenue,an actress who specializes in playing the role of an artless innocent young girl,offensive
n09772746,"adulterer, fornicator",someone who commits adultery or fornication,offensive
n10586265,"shanghaier, seizer",a kidnapper who drugs men and takes them for compulsory service aboard a ship,offensive
n10339179,murderess,a woman murderer,offensive
n10718349,"tout, touter",someone who advertises for customers in an especially brazen way,offensive
n10576223,segregate,someone who is or has been segregated,offensive
n10240235,"know-it-all, know-all",someone who thinks he knows everything and refuses to accept advice or information from others,offensive
n09756195,abhorrer,a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred,offensive
n09972587,cow,a large unpleasant woman,offensive
n10726031,"transvestite, cross-dresser",someone who adopts the dress or manner or sexual role of the opposite sex,offensive
n10784922,withdrawer,a student who withdraws from the educational institution in which he or she was enrolled,offensive
n10621514,"sodomite, sodomist, sod, bugger",someone who engages in anal copulation (especially a male who engages in anal copulation with another male),offensive
n10734741,two-timer,someone who deceives a lover or spouse by carrying on a sexual relationship with somebody else,offensive
n10594857,"shyster, pettifogger",a person (especially a lawyer or politician) who uses unscrupulous or unethical methods,offensive
n10116370,fundamentalist,a supporter of fundamentalism,offensive
n10009162,"detainee, political detainee",some held in custody,offensive
n10421016,"Pharaoh, Pharaoh of Egypt",the title of the ancient Egyptian kings,sensitive
n09778266,agent-in-place,an operative serving as a penetration into an intelligence target,sensitive
n10240082,"knower, apprehender",a person who knows or apprehends,sensitive
n10520286,"Renaissance man, generalist","a modern scholar who is in a position to acquire more than superficial knowledge about many different interests; ""a statistician has to be something of a generalist""",sensitive
n10093818,"fishmonger, fishwife",someone who sells fish,sensitive
n10579062,senior,an undergraduate student during the year preceding graduation,sensitive
n09716933,Roman,a resident of modern Rome,sensitive
n10716864,Tory,a member of political party in Great Britain that has been known as the Conservative Party since 1832; was the opposition party to the Whigs,sensitive
n09941964,"commanding officer, commandant, commander",an officer in command of a military unit,sensitive
n09868899,boulevardier,a visitor of a city boulevard (especially in Paris),sensitive
