wnid,synset,gloss,imageability score
n10657306,stitcher,a garmentmaker who performs the finishing steps,3.625
n09929298,climber,"someone who climbs as a sport; especially someone who climbs mountains; ""the lead climber looked strong still but his partner often slumped in his ropes""",3.625
n10493199,punter,(football) a person who kicks the football by dropping it from the hands and contacting it with the foot before it hits the ground,3.625
n10657835,stock trader,someone who buys and sells stock shares,3.625
n10671613,"successor, heir",a person who inherits some title or office,3.625
n10521853,newswoman,a female newsperson,3.625
n10209731,"insurance broker, insurance agent, general agent, underwriter",an agent who sells insurance,3.625
n10336411,"moviegoer, motion-picture fan",someone who goes to see movies,3.625
n10048836,elected official,official who won the office in a free election,3.625
n10493835,"puppy, pup",an inexperienced young person,3.619047619
n10607291,"skin-diver, aquanaut",an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder,3.619047619
n10259348,lieutenant,a commissioned military officer,3.615384615
n10154013,"gynecologist, gynaecologist, woman's doctor",a specialist in gynecology,3.6
n10514051,reeler,a dancer of reels,3.6
n10147121,gringo,a Latin American (disparaging) term for foreigners (especially Americans and Englishmen),3.6
n09883047,business traveler,a traveler whose expenses are paid by the business he works for,3.6
n10228278,"juror, juryman, jurywoman",someone who serves (or waits to be called to serve) on a jury,3.6
n09951274,computer user,a person who uses computers for work or entertainment or communication or business,3.6
n09919200,chiropractor,a therapist who practices chiropractic,3.6
n09758885,academic administrator,an administrator in a college or university,3.6
n10607478,skinhead,a young person who belongs to a British or American group that shave their heads and gather at rock concerts or engage in white supremacist demonstrations,3.6
n10049363,"electrician, lineman, linesman",a person who installs or repairs electrical or telephone lines,3.6
n10260706,life,"a living person; ""his heroism saved a life""",3.6
n10110093,freedom rider,one of an interracial group of civil rights activists who rode buses through parts of the South in order to protest racial segregation,3.6
n09863031,"bodyguard, escort",someone who escorts and protects a prominent person,3.6
n10593521,shot putter,an athlete who competes in the shot put,3.6
n10303814,"mayor, city manager",the head of a city government,3.6
n10619642,social scientist,someone expert in the study of human society and its personal relationships,3.6
n09843443,bat boy,(baseball) a boy who takes care of bats and other baseball equipment,3.6
n10803031,"yardmaster, trainmaster, train dispatcher",a railroad employer who is in charge of a railway yard,3.6
n09835017,ballet mistress,a woman who directs and teaches and rehearses dancers for a ballet company,3.6
n10639637,"sports announcer, sportscaster, sports commentator",an announcer who reads sports news or describes sporting events,3.6
n09834885,ballet master,a man who directs and teaches and rehearses dancers for a ballet company,3.6
n10726786,"traveling salesman, travelling salesman, commercial traveler, commercial traveller, roadman, bagman",a salesman who travels to call on customers,3.6
n10571907,Secretary of Health and Human Services,"the person who holds the secretaryship of the Department of Health and Human Services; ""the first Secretary of Health and Human Services was Patricia Roberts Harris who was appointed by Carter""",3.6
n10280674,"magician, prestidigitator, conjurer, conjuror, illusionist",someone who performs magic tricks to amuse an audience,3.6
n10091450,"fire-eater, fire-swallower",a performer who pretends to swallow fire,3.6
n10055297,"enchantress, witch",a female sorcerer or magician,3.6
n10189278,"house physician, resident, resident physician","a physician (especially an intern) who lives in a hospital and cares for hospitalized patients under the supervision of the medical staff of the hospital; ""the resident was receiving special clinical training at the hospital""",3.6
n10158506,hand,"a member of the crew of a ship; ""all hands on deck""",3.6
n09841696,"base runner, runner",a baseball player on the team at bat who is on base (or attempting to reach a base),3.583333333
n10009484,detective,an investigator engaged or employed in obtaining information not easily available to the public,3.571428571
n10759331,"volunteer, military volunteer, voluntary",(military) a person who freely enlists for service,3.571428571
n10624074,"son, boy","a male human offspring; ""their son became a famous judge""; ""his boy is taller than he is""",3.571428571
n10333317,mother-in-law,the mother of your spouse,3.571428571
n10053439,empress,a woman emperor or the wife of an emperor,3.571428571
n10208847,inspector,a high ranking police officer,3.571428571
n10435988,"pitcher, hurler, twirler","(baseball) the person who does the pitching; ""our pitcher has a sore arm""",3.571428571
n10363573,novelist,one who writes novels,3.571428571
n10318293,"mill-hand, factory worker",a workman in a mill or factory,3.571428571
n10387324,"right-handed pitcher, right-hander",(baseball) a pitcher who throws with the right hand,3.571428571
n10148825,group captain,a commissioned officer (especially one in the Royal Air Force) equivalent in rank to a colonel in the army,3.571428571
n09762011,accused,a defendant in a criminal proceeding,3.571428571
n10235024,"king, queen, world-beater",a competitor who holds a preeminent position,3.571428571
n10692090,Tarzan,(sometimes used ironically) a man of great strength and agility (after the hero of a series of novels by Edgar Rice Burroughs),3.5625
n10086744,field judge,a football official,3.5625
n10710913,tiler,a worker who lays tile,3.555555556
n09985978,"cyborg, bionic man, bionic woman","a human being whose body has been taken over in whole or in part by electromechanical devices; ""a cyborg is a cybernetic organism""",3.555555556
n09826204,"aviator, aeronaut, airman, flier, flyer",someone who operates an aircraft,3.555555556
n10191001,hugger,a person who hugs,3.555555556
n09902954,"celebrant, celebrator, celebrater",a person who is celebrating,3.545454545
n10686517,symphonist,a composer of symphonies,3.545454545
n10186143,horsewoman,a woman horseman,3.545454545
n09936892,"college student, university student",a student enrolled in a college or university,3.538461538
n10332861,mother,a term of address for a mother superior,3.538461538
n09960688,contractor,someone (a person or firm) who contracts to build things,3.533333333
n10560637,scientist,a person with advanced knowledge of one or more sciences,3.529411765
n10017272,"disk jockey, disc jockey, dj",a person who announces and plays popular recorded music,3.5
n09716047,Italian,a native or inhabitant of Italy,3.5
n10102800,"forefather, father, sire","the founder of a family; ""keep the faith of our forefathers""",3.5
n09726621,South American Indian,a member of a native Indian group in South America,3.5
n10407310,"patriot, nationalist",one who loves and defends his or her country,3.5
n10667477,stylist,an artist who is a master of a particular style,3.5
n10559996,schoolmaster,any person (or institution) who acts as an educator,3.5
n09830629,"backpacker, packer",a hiker who wears a backpack,3.5
n10710259,"ticket collector, ticket taker",someone who is paid to admit only those who have purchased tickets,3.5
n09941571,commander,a commissioned naval officer who ranks above a lieutenant commander and below a captain,3.5
n10595647,"sick person, diseased person, sufferer",a person suffering from an illness,3.5
n10067600,event planner,someone who plans social events as a profession (usually for government or corporate officials),3.5
n10357613,niece,a daughter of your brother or sister,3.5
n10121026,garment cutter,someone who cuts cloth etc. to measure in making garments,3.5
n09871229,"cub, lad, laddie, sonny, sonny boy",a male child (a familiar term of address to a boy),3.5
n10487182,"pruner, trimmer","a worker who thins out and trims trees and shrubs; ""untouched by the pruner's axe""",3.5
n10101981,footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,3.5
n09927451,"clergyman, reverend, man of the cloth",a member of the clergy and a spiritual leader of the Christian Church,3.5
n10076224,fairy godmother,a generous benefactor,3.454545455
n10546428,"sailing master, navigator",the ship's officer in charge of navigation,3.454545455
n10039946,dunker,a basketball player who is able to make dunk shots,3.454545455
